unspsc,root_domain,page_url,product_title,product_summary,product_name,product_identifier,brand,intended_industries,applicability,eco_friendly,ethical_and_sustainability_practices,production_capacity,price,materials,ingredients,manufacturing_countries,manufacturing_year,manufacturing_type,customization,packaging_type,form,size,color,purity,energy_efficiency,pressure_rating,power_rating,quality_standards_and_certifications,miscellaneous_features,description
Livestock feed,southernstates.com,https://southernstates.com/search?filter.p.tag=Subcategory_Feed&filter.p.tag=Cargill&q=pasture,Nutrena® NutreBeef® 37% Range Block,"Nutrena® NutreBeef® 37% Range Block is a highly palatable, pelleted feed designed for beef cattle on pasture or forage. It is formulated to provide consistent consumption and support their health.",Range Block,[],Nutrena,['Agriculture'],['Beef Cattle Feed'],,[],[],[],[],[],[],-1,[],[],[],['Solid'],[],[],[],,[],[],[],['highly palatable' 'pelleted feed'],"""Range Block"" is a highly palatable, pelleted feed designed for beef cattle on pasture or forage. It is formulated to ensure consistent consumption and support the health of the animals."
Profiles,moduasm.co.za,https://moduasm.co.za/product-category/conn_ele/butt_con/product-category/table_height_adjust/electric_unit/product-category/makerbeam/mb_profiles/mb_profile_clear/,10x10mm Aluminium Profile 200mm – Clear (100180),A clear aluminium profile with dimensions of 10x10mm and a length of 200mm. Priced at R62.92 and available in stock with 40 units.,Aluminium Profile,[],,['Manufacturing'],['construction' 'manufacturing processes'],,[],[],"[{'amount': 62.91999816894531, 'currency': 'ZAR', 'type': 'exact'}]",['Aluminium'],[],[],-1,[],[],[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '200'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '10'}
 {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '10'}]",[],[],,[],[],[],['Clear'],"The ""Aluminium Profile"" is a clear aluminium profile with specified dimensions."
Pipe caps,directsupply.com,https://store.directsupply.com/Search?t=Pawling%20Corporation&df=ColorFiltered~singleselect~Doeskin%20268&og=False,Pawling WG-5 Series End Cap,"An end cap from the WG-5 Series by Pawling Corporation, designed for compatibility with Pawling products.",End Cap,[],Pawling Corporation,['Manufacturing'],[],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],,[],[],[],[],"The ""End Cap"" is an end cap from the WG-5 Series by Pawling Corporation, designed for compatibility with other Pawling products."
Other,yg-int.com,http://www.yg-int.com/Manufacturerdetail/Optiks%20Mechatronics%20Pvt_%20Ltd_,OM309-3030-64x1-T 2,,OM309-3030-64x1-T 2,[],,[],[],,[],[],[],[],[],[],-1,[],[],[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '64'}]",[],[],,[],[],[],[],
Surveillance and detection equipment,visionxp.in,https://www.visionxp.in/page/cctv-security-ip-camera-manufacturers-in-haridwar,12ch NVR,"A 12 channel NVR designed for public safety, suitable for corporate companies. Manufactured in Haridwar, Uttarakhand.",NVR,[],,['Public Safety'],['video surveillance'],,[],[],[],[],[],['IN'],-1,[],[],[],[],[],[],[],,[],[],[],['Designed for public safety'],"The ""NVR"" is a 12-channel network video recorder designed for public safety, specifically suitable for corporate companies. It is manufactured in Haridwar, Uttarakhand."
Tshirts,workwonderly.com,https://www.workwonderly.com/tags/Nurse/color/green%7Cred%7Cwhite/page/6,Livin' The Scrub Life - Healthcare Worker Classic T-Shirt,"A classic t-shirt designed for healthcare workers, available in various colors such as green, red, and white. This t-shirt is perfect for everyday wear or as a gift.",Classic T-Shirt,[],,['Healthcare'],['Everyday Wear' 'Gift'],,[],[],[],[],[],[],-1,[],[],[],[],[],"[{'original': 'Green', 'simple': 'Green'}
 {'original': 'Red', 'simple': 'Red'}
 {'original': 'White', 'simple': 'White'}]",[],,[],[],[],[],"""The 'Classic T-Shirt' is designed for healthcare workers, available in colors such as green, red, and white. It is suitable for everyday wear or as a gift."""
Stage and studio luminaires,scubalamp.com,https://scubalamp.com/search/?&Keyword=ambient+light+filter&Sort=2d,SUPE Scubalamp P33Pro Photography Light,,Photography Light,[],,[],[],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],,[],[],[],[],"The ""Photography Light"" is a photography light designed for underwater photography."
Drivetrain systems,mts-performance.com,https://mts-performance.com/product_info.php?cPath=2_17_160&products_id=388&osCsid=auv0h7igae5mfghe4ask1rjcb0,"AOD, 4R70W, AODE Ford Transmission Direct Clutch Hub 1983-up","The AOD, 4R70W, AODE Ford Transmission Direct Clutch Hub 1983-up is a used component designed for Ford vehicles, specifically compatible with the 4R70W and AODE transmissions. This direct clutch hub is identified by the model number M76575AA and is priced at $11.00. It is intended for use in Ford transmissions manufactured from 1983 onwards, ensuring compatibility with the 4R70W and AODE models. The product is described as being cleaned and inspected in good used condition, indicating it has been maintained to a reasonable standard. This clutch hub is suitable for various Ford models that utilize the 4R70W and AODE transmission systems, making it a versatile choice for automotive repair and maintenance. The product is available for purchase and can be added to the cart for immediate purchase.",Transmission Direct Clutch Hub,['Part_Number: M76575AA'],,['Automotive'],['transmission clutch hub for Ford vehicles'],,[],[],"[{'amount': 11.0, 'currency': 'USD', 'type': 'exact'}]",[],[],[],-1,[],[],[],[],[],[],[],,[],[],[],['Cleaned and inspected in good used condition'],"The ""AOD, 4R70W, AODE Ford Transmission Direct Clutch Hub 1983-up"" is a used component designed for Ford vehicles, specifically compatible with the 4R70W and AODE transmissions. This direct clutch hub is identified by the model number M76575AA and is intended for use in Ford transmissions manufactured from 1983 onwards. It is described as being cleaned and inspected in good used condition, ensuring it meets a reasonable standard of maintenance."
Dispensing tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+zero-thrust-control-gun+20k-double-dump-gun-handle,15K Hand-Held Double Dump Style Control Gun,"A control gun with a style design, used for discharging materials during water blasting operations.",Control Gun,[],,['Construction'],['water blasting operations'],,[],[],[],[],[],[],-1,[],[],[],[],[],[],[],,[],[],[],[],"The ""Control Gun"" is designed for discharging materials during water blasting operations, featuring a style that is suitable for this specific application."
Ink and lead refills,ferriswheelpress.eu,https://ferriswheelpress.eu/collections/sales-deals/product-type_fountain-pen-ink+size_5ml+colour_blue+collection_everyday-ink+colour_orange,Ferris Wheel Press EU Fountain Pen Ink,"Ferris Wheel Press EU offers a range of fountain pen inks, available in various sizes and colors. The inks are designed for everyday use and are part of the Everyday Ink collection. The inks are available in blue and orange colors, with a size of 5ml. The inks are part of a collection that emphasizes quality and inspiration, making them suitable for both professional and personal use.",Fountain Pen Ink,[],Ferris Wheel Press EU,['Writing' 'Art'],['everyday use' 'professional use' 'personal use'],,[],[],[],[],[],[],-1,[],[],[],['Liquid'],"[{'dimension': 'Volume', 'qualitative': False, 'type': 'exact', 'unit': 'ml', 'value': '5'}]","[{'original': 'Blue', 'simple': 'Blue'}
 {'original': 'Orange', 'simple': 'Orange'}]",[],,[],[],[],[],"""Fountain Pen Ink"" by Ferris Wheel Press EU is designed for everyday use with fountain pens, suitable for both professional and personal applications. This ink is part of the Everyday Ink collection, emphasizing quality and inspiration."
